Size;Time;Proc
12;0.0515994;64
12;0.0478089;64
12;0.0295943;64
12;0.0370435;64
12;0.0300258;64
12;0.0566368;64
12;0.0437934;64
12;0.0424502;64
12;0.044181;64
12;0.0310934;64
4;2.79024e-05;1
4;9.8981e-06;1
4;9.23872e-06;1
4;8.9556e-06;1
4;8.92207e-06;1
5;5.01685e-05;1
5;2.90088e-05;1
5;2.77869e-05;1
5;2.53581e-05;1
5;2.49781e-05;1
6;0.000107493;1
6;8.70973e-05;1
6;8.31038e-05;1
6;8.2843e-05;1
6;7.1045e-05;1
7;0.000154216;1
7;0.000132147;1
7;0.000122916;1
7;0.000123382;1
7;0.000122819;1
8;0.000659686;1
8;0.00050763;1
8;0.000487525;1
8;0.000712771;1
8;0.00112342;1
9;0.00312765;1
9;0.00279708;1
9;0.00276127;1
9;0.00301742;1
9;0.00312892;1
10;0.0139434;1
10;0.0128393;1
10;0.0115708;1
10;0.0119663;1
10;0.0117626;1
11;0.0875351;1
11;0.087277;1
11;0.0699641;1
11;0.076679;1
11;0.0723182;1
12;0.463601;1
12;0.444814;1
12;0.483207;1
12;0.458975;1
12;0.446843;1
4;4.71324e-05;2
4;1.61715e-05;2
4;1.46106e-05;2
4;1.36048e-05;2
4;1.36048e-05;2
5;2.81855e-05;2
5;2.54437e-05;2
5;2.44044e-05;2
5;2.42814e-05;2
5;2.34731e-05;2
6;5.68591e-05;2
6;4.77098e-05;2
6;4.76092e-05;2
6;4.72069e-05;2
6;3.9015e-05;2
7;0.000122804;2
7;8.02949e-05;2
7;7.70874e-05;2
7;7.74488e-05;2
7;8.70451e-05;2
8;0.000369582;2
8;0.000330105;2
8;0.000582337;2
8;0.00067972;2
8;0.000845443;2
9;0.00178905;2
9;0.00205865;2
9;0.00193986;2
9;0.00166485;2
9;0.00186849;2
10;0.00782478;2
10;0.00686496;2
10;0.00930868;2
10;0.00636591;2
10;0.00688461;2
11;0.033573;2
11;0.0457783;2
11;0.0393916;2
11;0.0450696;2
11;0.0362361;2
12;0.266947;2
12;0.259137;2
12;0.258147;2
12;0.255433;2
12;0.255925;2
4;3.94508e-05;4
4;1.68756e-05;4
4;1.46404e-05;4
4;1.50688e-05;4
4;1.45212e-05;4
5;3.72194e-05;4
5;2.49892e-05;4
5;2.34582e-05;4
5;1.93156e-05;4
5;2.25194e-05;4
6;4.46439e-05;4
6;3.43919e-05;4
6;3.13893e-05;4
6;2.8491e-05;4
6;3.08119e-05;4
7;0.000103664;4
7;4.85331e-05;4
7;4.96916e-05;4
7;6.07669e-05;4
7;4.93228e-05;4
8;0.000260301;4
8;0.00018917;4
8;0.00018381;4
8;0.000187874;4
8;0.000193007;4
9;0.00103009;4
9;0.000885364;4
9;0.00090031;4
9;0.000883054;4
9;0.000889398;4
10;0.0044244;4
10;0.00426623;4
10;0.00412424;4
10;0.00386703;4
10;0.00407524;4
11;0.0223379;4
11;0.0263038;4
11;0.0457532;4
11;0.0337449;4
11;0.0326465;4
12;0.162069;4
12;0.155956;4
12;0.156434;4
12;0.151301;4
12;0.155129;4
4;6.81989e-05;8
4;1.01849e-05;8
4;1.87196e-05;8
4;8.68365e-06;8
4;8.28132e-06;8
5;1.8362e-05;8
5;2.23517e-05;8
5;1.66483e-05;8
5;1.58399e-05;8
5;1.53817e-05;8
6;7.85701e-05;8
6;2.57157e-05;8
6;2.04071e-05;8
6;1.89915e-05;8
6;2.23815e-05;8
7;9.87574e-05;8
7;4.19691e-05;8
7;3.93763e-05;8
7;3.89293e-05;8
7;4.01549e-05;8
8;0.000243649;8
8;0.000208087;8
8;0.000182673;8
8;0.000179496;8
8;0.000184454;8
9;0.000877205;8
9;0.000762906;8
9;0.000706352;8
9;0.000725001;8
9;0.000720412;8
10;0.00370057;8
10;0.00312887;8
10;0.00312611;8
10;0.00302667;8
10;0.00311748;8
11;0.018297;8
11;0.0153979;8
11;0.01609;8
11;0.0149108;8
11;0.0152431;8
12;0.0994403;8
12;0.0908389;8
12;0.0849064;8
12;0.0832924;8
12;0.0832896;8
4;8.67434e-05;16
4;1.07177e-05;16
4;1.01402e-05;16
4;1.11423e-05;16
4;9.10088e-06;16
5;2.80328e-05;16
5;1.29081e-05;16
5;1.3981e-05;16
5;1.32918e-05;16
5;1.22339e-05;16
6;0.00012242;16
6;2.14018e-05;16
6;1.99899e-05;16
6;1.85184e-05;16
6;1.88425e-05;16
7;9.82881e-05;16
7;4.37871e-05;16
7;4.16078e-05;16
7;4.29489e-05;16
7;4.27924e-05;16
8;0.000231333;16
8;0.000125464;16
8;0.000128713;16
8;0.000119261;16
8;0.000122499;16
9;0.000759155;16
9;0.000482194;16
9;0.000431325;16
9;0.000426456;16
9;0.000430126;16
10;0.00320075;16
10;0.00204459;16
10;0.00180173;16
10;0.00176763;16
10;0.00176283;16
11;0.0144401;16
11;0.00933138;16
11;0.00858186;16
11;0.00833385;16
11;0.00858805;16
12;0.0731631;16
12;0.0487814;16
12;0.0428768;16
12;0.0426353;16
12;0.0434482;16
5;0.000159469;32
5;1.31465e-05;32
5;1.17756e-05;32
5;1.28411e-05;32
5;1.03861e-05;32
6;2.91541e-05;32
6;1.61529e-05;32
6;2.3555e-05;32
6;1.69314e-05;32
6;1.71475e-05;32
7;0.000177346;32
7;4.68828e-05;32
7;4.99003e-05;32
7;4.69051e-05;32
7;4.41894e-05;32
8;0.000253327;32
8;0.000117812;32
8;0.000115115;32
8;0.000117525;32
8;0.000120498;32
9;0.000829648;32
9;0.000466276;32
