Size;Time;Thread
12;0.281303;1
12;0.274881;1
12;0.273064;1
12;0.271805;1
12;0.271511;1
12;0.142173;2
12;0.144148;2
12;0.141044;2
12;0.152755;2
12;0.142121;2
12;0.0989043;4
12;0.101714;4
12;0.102943;4
12;0.102878;4
12;0.117655;4
12;0.0537653;8
12;0.0551107;8
12;0.0529729;8
12;0.0561797;8
12;0.0570604;8
12;0.0693507;16
12;0.0280501;16
12;0.0332118;16
12;0.0340564;16
12;0.0287315;16
12;0.111406;32
12;0.0229816;32
12;0.0668748;32
12;0.0198724;32
12;0.0198283;32
12;0.0211719;64
12;0.0264366;64
12;0.0226415;64
12;0.0240283;64
12;0.041286;64
4;1.0334e-05;1
4;1.11237e-05;1
4;1.07512e-05;1
4;1.05426e-05;1
4;1.05724e-05;1
4;1.72257e-05;2
4;2.07722e-05;2
4;1.95727e-05;2
4;1.87121e-05;2
4;1.89207e-05;2
4;2.21543e-05;4
4;3.3576e-05;4
4;2.38605e-05;4
4;2.2307e-05;4
4;2.20053e-05;4
4;1.83582e-05;8
4;1.85519e-05;8
4;2.32905e-05;8
4;1.94348e-05;8
4;1.98334e-05;8
4;2.26013e-05;16
4;2.24859e-05;16
4;2.31899e-05;16
4;2.37972e-05;16
4;2.46838e-05;16
4;3.02047e-05;32
4;3.89367e-05;32
4;2.92324e-05;32
4;2.86326e-05;32
4;3.18103e-05;32
4;4.13172e-05;64
4;4.05274e-05;64
4;4.2662e-05;64
4;4.2133e-05;64
4;4.32357e-05;64
5;3.19518e-05;1
5;3.33935e-05;1
5;3.26373e-05;1
5;3.25665e-05;1
5;3.23914e-05;1
5;0.000103451;2
5;4.73075e-05;2
5;4.64804e-05;2
5;4.29153e-05;2
5;4.3571e-05;2
5;4.98556e-05;4
5;4.35896e-05;4
5;3.83705e-05;4
5;4.04194e-05;4
5;4.69908e-05;4
5;4.9185e-05;8
5;4.40329e-05;8
5;4.68269e-05;8
5;4.07547e-05;8
5;4.15891e-05;8
5;4.17121e-05;16
5;4.24832e-05;16
5;4.17382e-05;16
5;4.32767e-05;16
5;4.12352e-05;16
5;3.65041e-05;32
5;3.52114e-05;32
5;4.60483e-05;32
5;4.40069e-05;32
5;3.93502e-05;32
5;3.59453e-05;64
5;3.55504e-05;64
5;3.69512e-05;64
5;3.63439e-05;64
5;3.65116e-05;64
6;0.000117224;1
6;0.000118189;1
6;0.000118408;1
6;0.000117995;1
6;0.000117909;1
6;0.00012584;2
6;0.000117954;2
6;0.000117652;2
6;0.000105191;2
6;0.000110809;2
6;0.000113238;4
6;0.000117093;4
6;0.000125032;4
6;0.000129189;4
6;0.000125609;4
6;7.52211e-05;8
6;9.0003e-05;8
6;0.000109766;8
6;9.39406e-05;8
6;9.04091e-05;8
6;6.42538e-05;16
6;8.68551e-05;16
6;9.70066e-05;16
6;7.41705e-05;16
6;8.13752e-05;16
6;6.52932e-05;32
6;7.98106e-05;32
6;9.30056e-05;32
6;6.7275e-05;32
6;7.81529e-05;32
6;6.79158e-05;64
6;8.04961e-05;64
6;8.25152e-05;64
6;8.47392e-05;64
6;9.31323e-05;64
7;0.000208404;1
7;0.000415251;1
7;0.000459354;1
7;0.000458952;1
7;0.000439268;1
7;0.000272039;2
7;0.000309158;2
7;0.000349555;2
7;0.00028868;2
7;0.000305053;2
7;0.000256803;4
7;0.000236169;4
7;0.000245929;4
7;0.000259515;4
7;0.000249714;4
7;0.000212673;8
7;0.000217333;8
7;0.000230424;8
7;0.000225201;8
7;0.000223488;8
7;0.000146106;16
7;0.000142984;16
7;0.000141773;16
7;0.000140727;16
7;0.000153329;16
7;0.000107225;32
7;0.00012622;32
7;0.000115547;32
7;0.000116851;32
7;0.000110902;32
7;0.000101361;64
7;0.000121418;64
7;9.14745e-05;64
7;0.000104833;64
7;9.82322e-05;64
8;0.000577901;1
8;0.000792712;1
8;0.000514004;1
8;0.00051355;1
8;0.0011804;1
8;0.000873089;2
8;0.000923127;2
8;0.00101488;2
8;0.000893194;2
8;0.00103997;2
8;0.000762708;4
8;0.000787485;4
8;0.000748392;4
8;0.000549842;4
8;0.000541948;4
8;0.000407472;8
8;0.000411168;8
8;0.000413425;8
8;0.00041068;8
8;0.000393473;8
8;0.00026707;16
8;0.000260849;16
8;0.000253558;16
8;0.000259649;16
8;0.000208251;16
8;0.000206437;32
8;0.000195805;32
8;0.00019937;32
8;0.000198543;32
8;0.000190735;32
8;0.000137195;64
8;0.000134028;64
8;0.00012593;64
8;0.000134885;64
8;0.000112802;64
9;0.00234229;1
9;0.00287266;1
9;0.0026424;1
9;0.00254273;1
9;0.00260859;1
9;0.0023798;2
9;0.0022832;2
9;0.00218542;2
9;0.00220346;2
9;0.00219154;2
9;0.00168532;4
9;0.00145517;4
9;0.00126957;4
9;0.00126014;4
9;0.0012702;4
9;0.000806913;8
9;0.000813734;8
9;0.000694644;8
9;0.000720359;8
9;0.000701666;8
9;0.000542786;16
9;0.000423208;16
9;0.000428636;16
9;0.000425566;16
9;0.000414088;16
9;0.000372261;32
9;0.000348233;32
9;0.000336844;32
9;0.000332154;32
9;0.000340763;32
9;0.000345912;64
9;0.000341851;64
9;0.000331342;64
9;0.000317879;64
9;0.000328142;64
10;0.00970088;1
10;0.0101276;1
10;0.0105311;1
10;0.0130061;1
10;0.0100769;1
10;0.00921328;2
10;0.014651;2
10;0.0131396;2
10;0.0158196;2
10;0.0161858;2
10;0.00917569;4
10;0.00587014;4
10;0.00507553;4
10;0.00504215;4
10;0.0104547;4
10;0.00438958;8
10;0.00573359;8
10;0.00360482;8
10;0.00558956;8
10;0.0036502;8
10;0.00231016;16
10;0.00299567;16
10;0.00207093;16
10;0.00219914;16
10;0.00295112;16
10;0.00132119;32
10;0.00170307;32
10;0.00149864;32
10;0.00165862;32
10;0.00143891;32
10;0.00101206;64
10;0.00143872;64
10;0.00130895;64
10;0.00122187;64
10;0.00149266;64
11;0.0470402;1
11;0.0505739;1
11;0.0467252;1
11;0.04691;1
11;0.0495407;1
11;0.040726;2
11;0.0496457;2
11;0.0440809;2
11;0.0489602;2
11;0.0490815;2
11;0.029415;4
11;0.02848;4
11;0.028826;4
11;0.0297995;4
11;0.0304515;4
11;0.0186162;8
11;0.0184526;8
11;0.0189633;8
11;0.0197625;8
11;0.018989;8
11;0.00963053;16
11;0.0120305;16
11;0.0121227;16
11;0.012126;16
11;0.0121507;16
11;0.0371266;32
11;0.0063635;32
11;0.00634282;32
11;0.00635566;32
11;0.00635285;32
11;0.00306727;64
11;0.0035859;64
11;0.00372506;64
11;0.00365548;64
11;0.00381852;64
12;0.256403;1
12;0.253523;1
12;0.252343;1
12;0.250956;1
12;0.250048;1
12;0.128915;2
12;0.130817;2
12;0.127719;2
12;0.129451;2
12;0.12937;2
12;0.0978806;4
12;0.114115;4
12;0.136381;4
12;0.111313;4
12;0.105332;4
12;0.0746568;8
12;0.0614712;8
12;0.0613062;8
12;0.0614946;8
12;0.0792038;8
12;0.0457216;16
12;0.0330042;16
12;0.0321269;16
12;0.0337334;16
12;0.0338147;16
12;0.0370874;32
12;0.021014;32
12;0.0203677;32
12;0.0216311;32
12;0.0203608;32
12;0.151735;64
12;0.0128869;64
12;0.0138637;64
12;0.0129519;64
12;0.0134871;64
4;1.01179e-05;1
4;4.1835e-06;1
4;1.06357e-05;1
4;1.05351e-05;1
4;3.88548e-06;1
4;1.70283e-05;2
4;1.52886e-05;2
4;1.27032e-05;2
4;1.32471e-05;2
4;1.3344e-05;2
4;1.63168e-05;4
4;3.675e-05;4
4;1.50315e-05;4
4;1.29901e-05;4
4;1.73151e-05;4
4;1.91405e-05;8
4;1.33887e-05;8
4;1.5907e-05;8
4;1.40741e-05;8
4;1.44988e-05;8
4;1.96025e-05;16
4;1.70618e-05;16
4;1.77324e-05;16
4;1.83247e-05;16
4;2.1562e-05;16
4;1.7345e-05;32
4;1.66409e-05;32
4;1.65552e-05;32
4;1.77063e-05;32
4;1.62013e-05;32
4;2.60845e-05;64
4;2.41026e-05;64
4;2.55294e-05;64
4;2.58945e-05;64
4;2.53581e-05;64
5;3.18438e-05;1
5;3.27751e-05;1
5;3.21306e-05;1
5;3.2194e-05;1
5;3.24324e-05;1
5;0.00016645;2
5;3.98345e-05;2
5;3.33041e-05;2
5;3.9693e-05;2
5;3.92422e-05;2
5;4.04902e-05;4
5;5.21541e-05;4
5;5.0731e-05;4
5;4.77545e-05;4
5;4.97438e-05;4
5;4.3191e-05;8
5;3.92273e-05;8
5;3.60012e-05;8
5;3.99612e-05;8
5;4.25093e-05;8
5;3.40901e-05;16
5;3.43099e-05;16
5;3.57851e-05;16
5;3.41721e-05;16
5;3.44925e-05;16
5;3.42615e-05;32
5;3.63812e-05;32
5;4.05535e-05;32
5;4.08776e-05;32
5;4.07696e-05;32
5;3.81619e-05;64
5;3.94173e-05;64
5;4.05945e-05;64
5;4.21479e-05;64
5;4.46923e-05;64
6;0.000117738;1
6;0.000117984;1
6;0.000117738;1
6;0.000118103;1
6;0.000117652;1
6;0.000109207;2
6;0.000126082;2
6;0.000123218;2
6;0.000120677;2
6;0.000121333;2
6;0.000115879;4
6;0.000115182;4
6;0.000122909;4
6;0.000122402;4
6;0.000119966;4
6;0.000136707;8
6;0.000104494;8
6;0.000111341;8
6;0.000121251;8
6;0.000134453;8
6;8.6505e-05;16
6;8.49403e-05;16
6;0.000102442;16
6;9.15788e-05;16
6;0.000102062;16
6;7.76835e-05;32
6;7.19242e-05;32
6;7.99e-05;32
6;7.37645e-05;32
6;7.43493e-05;32
6;7.65324e-05;64
6;7.62828e-05;64
6;7.51056e-05;64
6;8.4471e-05;64
6;8.5175e-05;64
7;0.00028738;1
7;0.000459846;1
7;0.000461064;1
7;0.000287268;1
7;0.00045903;1
7;0.000268884;2
7;0.000228163;2
7;0.000228044;2
7;0.000297729;2
7;0.000268165;2
7;0.000241913;4
7;0.000267785;4
7;0.000255354;4
7;0.000246707;4
7;0.000238042;4
7;0.000192415;8
7;0.000212725;8
7;0.000233002;8
7;0.000204254;8
7;0.000203308;8
7;0.000126783;16
7;0.000139441;16
7;0.000149857;16
7;0.000154477;16
7;0.000153854;16
7;0.000119295;32
7;0.000125241;32
7;0.000101764;32
7;0.000116393;32
7;0.000124153;32
7;8.4199e-05;64
7;0.000100274;64
7;0.000108615;64
7;0.000116602;64
7;9.81987e-05;64
8;0.00057904;1
8;0.000580426;1
8;0.000541914;1
8;0.000808295;1
8;0.0012957;1
8;0.000814162;2
8;0.000907809;2
8;0.000906911;2
8;0.000860006;2
8;0.000857595;2
8;0.000712216;4
8;0.000733402;4
8;0.000684567;4
8;0.000647284;4
8;0.000638433;4
8;0.000407435;8
8;0.000399258;8
8;0.000409327;8
8;0.000397693;8
8;0.000355218;8
8;0.000293363;16
8;0.000302088;16
8;0.000286747;16
8;0.000273;16
8;0.000282273;16
8;0.000194754;32
8;0.00018625;32
8;0.00019075;32
8;0.000185743;32
8;0.000185594;32
8;0.000133205;64
8;0.000136871;64
8;0.000144243;64
8;0.000121996;64
8;0.000121806;64
9;0.00235224;1
9;0.00244264;1
9;0.00366575;1
9;0.00331333;1
9;0.002408;1
9;0.00371832;2
9;0.00237536;2
9;0.00211237;2
9;0.00211197;2
9;0.0021134;2
9;0.00187397;4
9;0.0015862;4
9;0.00148213;4
9;0.00184461;4
9;0.0014891;4
9;0.00111498;8
9;0.000773791;8
9;0.000766706;8
9;0.000664879;8
9;0.000662852;8
9;0.000806838;16
9;0.000727139;16
9;0.000435811;16
9;0.000436746;16
9;0.000388153;16
9;0.000451349;32
9;0.000338584;32
9;0.000339519;32
9;0.000333365;32
9;0.00032926;32
9;0.000363879;64
9;0.000326648;64
9;0.00032299;64
9;0.000336301;64
9;0.000398271;64
10;0.00972726;1
10;0.0104559;1
10;0.00980154;1
10;0.0100757;1
10;0.0100555;1
10;0.00837265;2
10;0.014946;2
10;0.0141586;2
10;0.0169527;2
10;0.0146204;2
10;0.00822316;4
10;0.00567576;4
10;0.00538397;4
10;0.00523614;4
10;0.00803791;4
10;0.00427798;8
10;0.00553687;8
10;0.00384956;8
10;0.00317468;8
10;0.00516705;8
10;0.00171535;16
10;0.0028765;16
10;0.00216971;16
10;0.00194728;16
10;0.00270403;16
10;0.00118862;32
10;0.00122005;32
10;0.00129958;32
10;0.00130937;32
10;0.00114671;32
10;0.00106984;64
10;0.00121391;64
10;0.001374;64
10;0.00127801;64
10;0.00118287;64
11;0.0470262;1
11;0.0470288;1
11;0.0470922;1
11;0.0502208;1
11;0.0469745;1
11;0.0381922;2
11;0.0469958;2
11;0.0481547;2
11;0.0482082;2
11;0.0485792;2
11;0.0285179;4
11;0.0294087;4
11;0.0289836;4
11;0.0288256;4
11;0.0293319;4
11;0.0143724;8
11;0.0178769;8
11;0.0192611;8
11;0.0185801;8
11;0.0181128;8
11;0.0115356;16
11;0.0109073;16
11;0.0111915;16
11;0.0109541;16
11;0.0108149;16
11;0.0397597;32
11;0.0062742;32
11;0.00621875;32
11;0.00624277;32
11;0.00629347;32
11;0.00271655;64
11;0.00345318;64
11;0.0036023;64
11;0.00355672;64
11;0.00350676;64
12;0.259565;1
12;0.256222;1
12;0.254274;1
12;0.254047;1
12;0.252605;1
12;0.164018;2
12;0.182972;2
12;0.184819;2
12;0.185452;2
12;0.211201;2
12;0.0970686;4
12;0.0986166;4
12;0.111967;4
12;0.115194;4
12;0.115404;4
12;0.084146;8
12;0.0584876;8
12;0.0600157;8
12;0.0876828;8
12;0.0584866;8
12;0.0672006;16
12;0.0315459;16
12;0.0334947;16
12;0.0333911;16
12;0.0334636;16
12;0.0200565;32
12;0.0205451;32
12;0.0204819;32
12;0.0210871;32
12;0.0205977;32
12;0.0137531;64
12;0.0137272;64
12;0.012212;64
12;0.0140177;64
12;0.0122249;64
4;5.79283e-06;1
4;5.66989e-06;1
4;5.69597e-06;1
4;5.56931e-06;1
4;5.55813e-06;1
4;1.67899e-05;2
4;1.2774e-05;2
4;1.46702e-05;2
4;1.14925e-05;2
4;1.23642e-05;2
4;1.5419e-05;4
4;1.86116e-05;4
4;1.7345e-05;4
4;1.66409e-05;4
4;1.52923e-05;4
4;1.54227e-05;8
4;1.80118e-05;8
4;1.62348e-05;8
4;1.4931e-05;8
4;1.771e-05;8
4;2.1033e-05;16
4;1.70134e-05;16
4;1.92486e-05;16
4;1.92709e-05;16
4;1.93231e-05;16
