Size;Time
12;0.268364
12;0.280336
12;0.262954
12;0.267905
12;0.267423
4;4.85405e-06
4;8.02428e-06
4;7.75233e-06
4;3.20375e-06
4;7.75605e-06
5;2.88859e-05
5;2.8722e-05
5;2.87555e-05
5;2.92026e-05
5;2.85432e-05
6;0.000101093
6;0.000100892
6;0.000101056
6;0.000111055
6;0.000112191
7;0.000316575
7;0.000459027
7;0.000439983
7;0.000364449
7;0.000360712
8;0.00052749
8;0.00084294
8;0.00149351
8;0.00120523
8;0.00138449
9;0.00230868
9;0.00278114
9;0.00250961
9;0.00313067
9;0.00249936
10;0.0103473
10;0.01051
10;0.00981038
10;0.01012
10;0.0130175
11;0.0491022
11;0.0471517
11;0.0464695
11;0.0464797
11;0.0455113
12;0.268533
12;0.25425
12;0.249471
12;0.248248
12;0.247756
4;4.51878e-06
4;2.95416e-06
4;7.79331e-06
4;7.84174e-06
4;7.69272e-06
5;2.883e-05
5;2.86587e-05
5;2.86289e-05
5;2.86289e-05
5;2.89679e-05
6;0.000111807
6;0.000111215
6;0.0001112
6;0.000122968
6;0.000111457
7;0.000276752
7;0.000274729
7;0.000439484
7;0.000428777
7;0.000439584
8;0.000687908
8;0.000554241
8;0.000751656
8;0.000522949
8;0.00068453
9;0.00234911
9;0.00240213
9;0.00240623
9;0.00255129
9;0.00235486
10;0.0101739
10;0.00971872
10;0.00982408
10;0.0103692
10;0.0127522
11;0.0508723
11;0.0482677
11;0.0471797
11;0.0461334
11;0.0458291
12;0.274447
12;0.257008
12;0.251203
12;0.250126
12;0.249366
4;4.45172e-06
4;4.25428e-06
4;4.11645e-06
4;4.07547e-06
4;4.09409e-06
5;2.39797e-05
5;2.39424e-05
5;2.40058e-05
5;2.8614e-05
5;2.87555e-05
6;0.000111826
6;0.000124853
6;0.000111584
6;0.000111785
6;0.000111699
7;0.000275161
7;0.000274345
7;0.000281449
7;0.000282079
7;0.000273969
8;0.000552572
8;0.000543665
8;0.000536524
8;0.000542823
8;0.000543863
9;0.00234645
9;0.00243501
9;0.00239353
9;0.00247191
9;0.00238781
10;0.010668
10;0.0102031
10;0.0101209
10;0.0102625
10;0.01025
11;0.0516969
11;0.0491118
11;0.0718509
11;0.0659101
11;0.0528334
12;0.271511
12;0.303141
12;0.271892
12;0.252467
12;0.251513
4;3.5353e-06
4;3.30806e-06
4;3.21865e-06
4;3.29688e-06
4;3.2559e-06
5;2.68333e-05
5;2.63005e-05
5;2.63974e-05
5;2.67215e-05
5;2.63005e-05
6;0.000102531
6;0.000102643
6;0.00010287
6;0.000102859
6;0.000102911
7;0.000260983
7;0.000259221
7;0.000182867
7;0.00018283
7;0.000183042
8;0.000558734
8;0.000524875
8;0.000521351
8;0.000526451
8;0.000527065
9;0.00245228
9;0.00241368
9;0.00233768
9;0.00240525
9;0.0023371
10;0.0104547
10;0.00986756
10;0.0097471
10;0.0097225
10;0.00970526
11;0.0519274
11;0.0490734
11;0.0473648
11;0.0468492
11;0.0467281
12;0.278444
12;0.254031
12;0.251895
12;0.251213
12;0.250378
4;5.78165e-06
4;5.60284e-06
4;5.65499e-06
4;5.56558e-06
4;5.50598e-06
5;2.24598e-05
5;2.21319e-05
5;2.23406e-05
5;2.21953e-05
5;2.22512e-05
6;0.000101805
6;0.000102103
6;0.000113562
6;0.000101395
6;0.000101466
7;0.000260811
7;0.00025887
7;0.00026511
7;0.000258949
7;0.000183277
8;0.00056329
8;0.000542041
8;0.000545558
8;0.000542056
8;0.000542946
9;0.00252837
9;0.00247607
9;0.00246922
9;0.00246263
9;0.00246316
10;0.0112984
10;0.0104998
10;0.0102787
10;0.0102748
10;0.0102768
11;0.0545696
11;0.0514477
11;0.0500204
11;0.0485184
11;0.0481878
12;0.291269
12;0.259241
12;0.257523
12;0.256238
12;0.255727
4;3.69921e-06
4;2.66358e-06
4;2.36183e-06
4;2.36556e-06
4;2.37301e-06
5;1.59293e-05
5;1.60486e-05
5;1.60299e-05
5;2.05226e-05
5;2.03513e-05
6;3.72678e-05
6;3.74913e-05
6;3.48575e-05
6;3.37698e-05
6;3.37847e-05
7;0.000136286
7;0.000133231
7;0.000133209
7;0.000133224
7;0.000133116
8;0.00056617
8;0.000545137
8;0.000536118
8;0.000535488
8;0.000542272
9;0.00253515
9;0.00248574
9;0.0024749
9;0.00247931
9;0.0024698
10;0.011252
10;0.0105429
10;0.0103189
10;0.0103113
10;0.0103225
11;0.0562156
11;0.0526023
11;0.0503354
11;0.049685
11;0.0493443
12;0.285748
12;0.266439
12;0.264265
12;0.262979
12;0.26239
4;3.44962e-06
4;3.26335e-06
4;3.10689e-06
4;3.09199e-06
4;3.06591e-06
5;9.86457e-06
5;9.77516e-06
5;9.75654e-06
5;9.76771e-06
5;9.68203e-06
6;3.78266e-05
6;3.37213e-05
6;3.37549e-05
6;3.37176e-05
6;4.22448e-05
7;0.00013594
7;0.00013312
7;0.000137191
7;0.000143934
7;0.000133045
8;0.000614971
8;0.000598926
8;0.000588004
8;0.000589624
8;0.000588443
9;0.00253697
9;0.00250219
9;0.00248335
9;0.00247783
9;0.0024836
10;0.0118461
10;0.0122664
10;0.0104013
10;0.0104157
10;0.010418
11;0.0588725
11;0.0541982
11;0.0521783
11;0.0512105
11;0.0507962
12;0.295161
12;0.276202
12;0.273141
12;0.272552
12;0.271635
