Size;Time;Proc
4;9.93907e-06;1
4;3.97861e-06;1
4;3.01749e-06;1
4;7.68155e-06;1
4;7.37607e-06;1
5;1.75536e-05;1
5;2.44901e-05;1
5;2.30223e-05;1
5;4.53591e-05;1
5;2.27466e-05;1
6;3.84003e-05;1
6;8.39457e-05;1
6;8.31187e-05;1
6;8.30218e-05;1
6;3.10317e-05;1
7;0.000155106;1
7;0.000327997;1
7;0.000326812;1
7;0.000333212;1
7;0.000326045;1
8;0.00060989;1
8;0.00070817;1
8;0.000732891;1
8;0.000429809;1
8;0.00106671;1
9;0.00296628;1
9;0.00230299;1
9;0.00260314;1
9;0.00310132;1
9;0.00248426;1
10;0.0140188;1
10;0.0124902;1
10;0.0113397;1
10;0.0112455;1
10;0.0117199;1
11;0.082101;1
11;0.0697778;1
11;0.0701427;1
11;0.0701032;1
11;0.0702624;1
12;0.906743;1
12;0.481318;1
12;0.511897;1
12;0.478417;1
12;0.560752;1
4;2.27541e-05;2
4;1.48192e-05;2
4;2.40579e-05;2
4;1.2584e-05;2
4;1.21221e-05;2
5;2.63005e-05;2
5;9.96143e-06;2
5;9.40263e-06;2
5;9.90927e-06;2
5;9.74536e-06;2
6;5.5626e-05;2
6;2.26423e-05;2
6;2.19271e-05;2
6;2.15173e-05;2
6;2.18526e-05;2
7;0.000123918;2
7;6.7465e-05;2
7;6.81058e-05;2
7;6.76662e-05;2
7;6.74427e-05;2
8;0.00038211;2
8;0.000314891;2
8;0.000284731;2
8;0.000286594;2
8;0.000280067;2
9;0.00173125;2
9;0.00169666;2
9;0.00175052;2
9;0.00206392;2
9;0.00148255;2
10;0.00749559;2
10;0.00704028;2
10;0.00762465;2
10;0.00687224;2
10;0.00754239;2
11;0.0424591;2
11;0.0395677;2
11;0.0542323;2
11;0.0391969;2
11;0.0583227;2
12;0.315476;2
12;0.260074;2
12;0.255465;2
12;0.252765;2
12;0.248443;2
4;2.18078e-05;4
4;5.90086e-06;4
4;1.30385e-05;4
4;1.85817e-05;4
4;1.19135e-05;4
5;4.79296e-05;4
5;7.72625e-06;4
5;7.13021e-06;4
5;1.53109e-05;4
5;1.19433e-05;4
6;7.56457e-05;4
6;2.53096e-05;4
6;2.14949e-05;4
6;3.93316e-05;4
6;3.96594e-05;4
7;0.000151306;4
7;5.42626e-05;4
7;5.42849e-05;4
7;5.25117e-05;4
7;5.29364e-05;4
8;0.000291646;4
8;0.00019072;4
8;0.000183016;4
8;0.000183627;4
8;0.000184424;4
9;0.00123923;4
9;0.000987381;4
9;0.000933096;4
9;0.000926487;4
9;0.000928231;4
10;0.00438659;4
10;0.00476179;4
10;0.00409935;4
10;0.00434989;4
10;0.00395452;4
11;0.0406261;4
11;0.045711;4
11;0.0353669;4
11;0.0282875;4
11;0.0423189;4
12;0.253195;4
12;0.174613;4
12;0.157249;4
12;0.14885;4
12;0.147515;4
4;3.75062e-05;8
4;8.88109e-06;8
4;7.86036e-06;8
4;8.21799e-06;8
4;8.68738e-06;8
5;3.7238e-05;8
5;8.38935e-06;8
5;7.66665e-06;8
5;7.51019e-06;8
5;7.07805e-06;8
6;0.000110164;8
6;2.55406e-05;8
6;3.04729e-05;8
6;2.32756e-05;8
6;2.3745e-05;8
7;0.000152826;8
7;3.99724e-05;8
7;3.56063e-05;8
7;3.68655e-05;8
7;3.6642e-05;8
8;0.000325531;8
8;0.000156797;8
8;0.000157699;8
8;0.000158153;8
8;0.000158757;8
9;0.000845656;8
9;0.000613898;8
9;0.000481978;8
9;0.000487477;8
9;0.000483908;8
10;0.00383749;8
10;0.0031511;8
10;0.00258243;8
10;0.00271018;8
10;0.00309734;8
11;0.0184696;8
11;0.0169856;8
11;0.0144116;8
11;0.0144788;8
11;0.0146159;8
12;0.143227;8
12;0.131957;8
12;0.153722;8
12;0.17062;8
12;0.145039;8
4;7.56308e-05;16
4;1.05724e-05;16
4;1.06394e-05;16
4;1.0103e-05;16
4;9.06736e-06;16
5;8.77529e-05;16
5;1.28374e-05;16
5;1.25542e-05;16
5;1.19731e-05;16
5;1.21742e-05;16
6;0.000173397;16
6;2.00644e-05;16
6;3.30806e-05;16
6;1.76877e-05;16
6;1.80677e-05;16
7;0.000226118;16
7;4.84139e-05;16
7;4.38541e-05;16
7;4.34816e-05;16
7;4.15891e-05;16
8;0.000366189;16
8;0.000158057;16
8;0.000157103;16
8;0.000154793;16
8;0.000153005;16
9;0.000964545;16
9;0.000677377;16
9;0.000658974;16
9;0.000657342;16
9;0.000641078;16
10;0.00293269;16
10;0.0023684;16
10;0.00184483;16
10;0.00183997;16
10;0.00181683;16
11;0.0186222;16
11;0.0153912;16
11;0.0116456;16
11;0.0135265;16
11;0.0125496;16
12;0.105914;16
12;0.105854;16
12;0.0794272;16
12;0.0709644;16
12;0.0733532;16
5;0.000161558;32
5;1.51619e-05;32
5;1.68309e-05;32
5;1.74344e-05;32
5;1.33291e-05;32
6;0.000162497;32
6;1.86861e-05;32
6;1.94237e-05;32
6;1.79783e-05;32
6;1.7494e-05;32
7;0.000362106;32
7;5.30854e-05;32
7;4.99114e-05;32
7;4.93154e-05;32
7;4.9144e-05;32
8;0.000491381;32
8;0.000145294;32
8;0.000149876;32
8;0.000131443;32
8;0.000130996;32
9;0.0011199;32
9;0.000615485;32
9;0.000564352;32
9;0.000555411;32
