Size;Time;Thread
4;3.06219e-06;1
4;1.16602e-05;1
4;1.16602e-05;1
4;1.11312e-05;1
4;1.16602e-05;1
4;1.08182e-05;2
4;1.17272e-05;2
4;1.1228e-05;2
4;1.11088e-05;2
4;1.12131e-05;2
4;1.19209e-05;4
4;0.000116713;4
4;1.56686e-05;4
4;1.44616e-05;4
4;1.39177e-05;4
4;1.51247e-05;8
4;1.26138e-05;8
4;1.25542e-05;8
4;1.30832e-05;8
4;1.08555e-05;8
4;1.41487e-05;16
4;1.57431e-05;16
4;1.42455e-05;16
4;1.50949e-05;16
4;1.5229e-05;16
4;1.39326e-05;32
4;1.29566e-05;32
4;1.20699e-05;32
4;1.38059e-05;32
4;1.36271e-05;32
4;2.85134e-05;64
4;2.57865e-05;64
4;2.51681e-05;64
4;2.54065e-05;64
4;2.50414e-05;64
5;1.11684e-05;1
5;1.18986e-05;1
5;1.1526e-05;1
5;3.3848e-05;1
5;3.35649e-05;1
5;0.000166774;2
5;3.31998e-05;2
5;2.39834e-05;2
5;2.6688e-05;2
5;2.55331e-05;2
5;3.59565e-05;4
5;2.76566e-05;4
5;3.85493e-05;4
5;5.02542e-05;4
5;3.84301e-05;4
5;3.25665e-05;8
5;3.47942e-05;8
5;3.29912e-05;8
5;3.55169e-05;8
5;3.45036e-05;8
5;2.61888e-05;16
5;3.83556e-05;16
5;2.55182e-05;16
5;2.69115e-05;16
5;2.79248e-05;16
5;3.03462e-05;32
5;2.91169e-05;32
5;2.64645e-05;32
5;3.29763e-05;32
5;3.05697e-05;32
5;3.34159e-05;64
5;0.000106595;64
5;3.37064e-05;64
5;3.1963e-05;64
5;3.3319e-05;64
6;4.66257e-05;1
6;4.03151e-05;1
6;4.03151e-05;1
6;4.03523e-05;1
6;4.04119e-05;1
6;0.000111885;2
6;5.87776e-05;2
6;5.84126e-05;2
6;6.3248e-05;2
6;6.47828e-05;2
6;9.66936e-05;4
6;0.000100099;4
6;8.80137e-05;4
6;7.83131e-05;4
6;9.6716e-05;4
6;0.000106089;8
6;8.51527e-05;8
6;7.15405e-05;8
6;8.78572e-05;8
6;0.000100754;8
6;6.53341e-05;16
6;6.98343e-05;16
6;7.14883e-05;16
6;8.72612e-05;16
6;8.27014e-05;16
6;5.05373e-05;32
6;5.19976e-05;32
6;6.01038e-05;32
6;6.35237e-05;32
6;5.81369e-05;32
6;5.08577e-05;64
6;6.57067e-05;64
6;6.54384e-05;64
6;6.59302e-05;64
6;6.59302e-05;64
7;0.000156626;1
7;0.000156842;1
7;0.000162929;1
7;0.000156596;1
7;0.000156648;1
7;0.000136428;2
7;0.000142075;2
7;0.000131741;2
7;0.000127524;2
7;0.000275694;2
7;0.000230722;4
7;0.000209048;4
7;0.000173099;4
7;0.000207931;4
7;0.00018397;4
7;0.00017792;8
7;0.000175476;8
7;0.00016553;8
7;0.00014133;8
7;0.000152402;8
7;9.60752e-05;16
7;0.000106722;16
7;0.000114657;16
7;0.000117004;16
7;9.5278e-05;16
7;8.87886e-05;32
7;0.000103272;32
7;9.31844e-05;32
7;9.53004e-05;32
7;9.56655e-05;32
7;8.68142e-05;64
7;9.01073e-05;64
7;9.11579e-05;64
7;9.0383e-05;64
7;8.64342e-05;64
8;0.00060989;1
8;0.00070817;1
8;0.00070817;1
8;0.00070817;1
8;0.00070817;1
8;0.00038211;2
8;0.00038211;2
8;0.00038211;2
8;0.00038211;2
8;0.00038211;2
8;0.00038211;4
8;0.00019072;4
8;0.000183016;4
8;0.000183627;4
8;0.000184424;4
8;0.000325531;8
8;0.000156797;8
8;0.000157699;8
8;0.000158153;8
8;0.000158757;8
8;0.000366189;16
8;0.000158057;16
8;0.000157103;16
8;0.000154793;16
8;0.000153005;16
8;0.000491381;32
8;0.000145294;32
8;0.000149876;32
8;0.000131443;32
8;0.000130996;32
8;0.000701845;64
8;0.000168353;64
8;0.000156254;64
8;0.000169061;64
8;0.000154138;64
9;0.00232195;1
9;0.00231281;1
9;0.00278453;1
9;0.0023818;1
9;0.00269869;1
9;0.00231596;2
9;0.00287237;2
9;0.00289209;2
9;0.0027995;2
9;0.00274435;2
9;0.00147042;4
9;0.0014063;4
9;0.0014373;4
9;0.00143462;4
9;0.00143858;4
9;0.000786789;8
9;0.000739776;8
9;0.000751674;8
9;0.000730202;8
9;0.000753008;8
9;0.000404343;16
9;0.000415757;16
9;0.000404373;16
9;0.00040403;16
9;0.000400618;16
9;0.00038068;32
9;0.0004059;32
9;0.000369258;32
9;0.000355735;32
9;0.000357352;32
9;0.000397004;64
9;0.000367329;64
9;0.000354446;64
9;0.000352196;64
9;0.000351287;64
10;0.00960191;1
10;0.00991987;1
10;0.00960159;1
10;0.00988341;1
10;0.00984481;1
10;0.00900524;2
10;0.0098953;2
10;0.0110518;2
10;0.0111154;2
10;0.0110642;2
10;0.00569326;4
10;0.00534251;4
10;0.00561826;4
10;0.00564037;4
10;0.00563283;4
10;0.00298755;8
10;0.00283585;8
10;0.00287519;8
10;0.00287789;8
10;0.00288019;8
10;0.0015955;16
10;0.00159715;16
10;0.00159032;16
10;0.00159574;16
10;0.00159074;16
10;0.000925317;32
10;0.000914574;32
10;0.000915118;32
10;0.000904873;32
10;0.000897236;32
10;0.000988886;64
10;0.000838481;64
10;0.000842541;64
10;0.000845551;64
10;0.000848867;64
11;0.0558614;1
11;0.0537349;1
11;0.0519544;1
11;0.0510001;1
11;0.0512271;1
11;0.0376494;2
11;0.0418331;2
11;0.0477121;2
11;0.0481873;2
11;0.0478044;2
11;0.024776;4
11;0.0224664;4
11;0.024246;4
11;0.0243499;4
11;0.0242297;4
11;0.0128061;8
11;0.0119354;8
11;0.0122827;8
11;0.0123186;8
11;0.0123224;8
11;0.00663745;16
11;0.00636693;16
11;0.00648297;16
11;0.00649308;16
