time(s);mPow_size
2.29478e-06;4
7.94977e-06;4
8.29995e-06;4
7.80821e-06;4
7.85291e-06;4
2.90647e-05;5
2.89679e-05;5
2.16663e-05;5
2.85953e-05;5
2.86698e-05;5
3.0145e-05;6
0.000111826;6
0.000111312;6
0.000111431;6
0.000111409;6
0.000119582;7
0.000450239;7
0.000353873;7
0.000304163;7
0.000452004;7
0.000504926;8
0.00071311;8
0.00104225;8
0.000935063;8
0.000746846;8
0.00230613;9
0.00285608;9
0.00224259;9
0.00246762;9
0.00300031;9
0.0104326;10
0.00986404;10
0.0101964;10
0.00975544;10
0.00935184;10
0.0572237;11
0.0562322;11
0.0537957;11
0.0527387;11
0.0524404;11
0.271633;12
0.246072;12
0.245361;12
0.244815;12
0.280477;12
2.30223e-06;4
2.36183e-06;4
8.12113e-06;4
1.83508e-05;4
2.10851e-06;4
9.87202e-06;5
9.87947e-06;5
9.81987e-06;5
9.79006e-06;5
9.80496e-06;5
3.73125e-05;6
3.71784e-05;6
3.71113e-05;6
3.70741e-05;6
3.70815e-05;6
0.000148132;7
0.000147693;7
0.000146948;7
0.000146963;7
0.000147052;7
0.00051178;8
0.000513442;8
0.000504084;8
0.000687808;8
0.000833288;8
0.00229187;9
0.00225757;9
0.00280472;9
0.0025155;9
0.00303361;9
0.011018;10
0.0104596;10
0.00973298;10
0.0100972;10
0.0102616;10
0.062179;11
0.05702;11
0.0544342;11
0.0527294;11
0.0523717;11
0.27689;12
0.247345;12
0.246525;12
0.246507;12
0.246108;12
2.33948e-06;4
7.97957e-06;4
7.69645e-06;4
7.7039e-06;4
2.09361e-06;4
9.79751e-06;5
9.79751e-06;5
9.80496e-06;5
9.6038e-06;5
9.73791e-06;5
3.72306e-05;6
3.72231e-05;6
3.7156e-05;6
4.50313e-05;6
3.70443e-05;6
0.00016591;7
0.000147074;7
0.000147186;7
0.000147223;7
0.000147127;7
0.000507936;8
0.000500247;8
0.00124392;8
0.000487797;8
0.000557318;8
0.0023087;9
0.00285078;9
0.00234693;9
0.00307962;9
0.00231845;9
0.0103483;10
0.00972523;10
0.0094038;10
0.00983659;10
0.00934178;10
0.0627352;11
0.0568406;11
0.0542096;11
0.0532647;11
0.0524016;11
0.275791;12
0.246519;12
0.246139;12
0.245552;12
0.244858;12
2.32458e-06;4
8.22544e-06;4
7.80076e-06;4
7.72625e-06;4
2.07126e-06;4
9.92417e-06;5
9.75281e-06;5
9.70811e-06;5
9.70066e-06;5
9.72301e-06;5
3.75509e-05;6
3.75733e-05;6
3.76105e-05;6
3.74615e-05;6
3.75062e-05;6
0.000147812;7
0.000147387;7
0.000146896;7
0.00014697;7
0.000146925;7
0.000513248;8
0.000501662;8
0.000797354;8
0.00105548;8
0.00133894;8
0.00230562;9
0.00258321;9
0.00249537;9
0.00248891;9
0.00302023;9
0.0103153;10
0.0100026;10
0.00964168;10
0.00995503;10
0.0100768;10
0.0619073;11
0.0566108;11
0.053854;11
0.0533495;11
0.0523063;11
0.274686;12
0.24624;12
0.245513;12
0.245031;12
0.24477;12
